RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
6,Arkansas,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117e3,115100,114700,115200,115200,115900,118600,117e3,119100,116900,121600,122e3,125600,126900,126100,128500,128700,131300,127700,128800,128500,130700,130500,129e3,128300,127500,129e3,129400,128e3,126200,123900,120900,120100,119400,121800,120900,121500,121600,121400,121100,121700,122900,125e3,123900,128900,130100,133e3,130800,130200,130100,128900,128800,128700,128900,129300,129700,130100,130600,13e4,131300,130600,132100,132800,133700,134100,135500,135500,135900,136300,136500,136600,134e3,135100,135200,135900,135900,136900,139700,140200,139700,141800,142200,142400,138700,139500,140300,139100,138500,141200,146400,150300,15e4,150500,148900,147600,145700,146600,
23,Kansas,32,148600,149600,149300,140100,135600,133200,140700,144700,144800,144400,142e3,144e3,144900,148600,147300,145900,143700,144900,146900,149300,150900,149500,149500,148500,150400,151100,148800,145600,142e3,142800,146400,148100,150800,151e3,150800,147900,146700,146100,145200,143e3,142e3,142900,144300,148500,148600,150100,148900,153500,153e3,153e3,148400,147800,147500,148400,147100,149500,150300,154e3,152900,153e3,152700,154100,154700,156300,153400,154200,152700,154400,153100,155200,155100,156500,152200,151e3,149800,153300,156e3,156800,157400,159500,160300,160700,159500,161100,162e3,162500,162100,161600,160200,160600,160300,159600,159900,158e3,153500,146100,143700,146200,153500,157800,160500,158600,157600,158700,160400,161800,161300,161600,162300,164e3,165600,167900,170100,171600,174200,172500,173e3,172100,174e3,175e3,176e3,176200,176500,175100,175100,172100,173700,177e3,181e3,182900,183800,182100,177900,172300,172600,176300,
55,Utah,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212800,216200,217400,218400,217e3,216800,216800,215400,216700,217500,216400,213900,211900,217400,220300,221400,220600,225900,231700,233700,230100,231700,232900,237500,237200,239400,240900,245e3,245500,245800,243900,244600,244100,244900,245500,248600,249500,250900,251e3,251900,253300,255e3,256700,259500,260200,261200,261800,261700,263500,263800,266500,268400,273300,276e3,277800,279500,282900,286400,289600,291300,294300,293800,297100,3e5,306100,308400,307500,307300,308700,312700,314e3,314e3,314600,
42,Nevada,34,246e3,244200,239e3,230300,220200,209300,199800,192e3,183400,176700,168200,161200,153600,145200,138600,132800,130100,127300,126300,127600,129100,129900,129700,129100,130100,132400,135e3,135400,131800,129600,127600,127e3,125600,124e3,122600,122e3,120100,118400,116700,115500,113900,111300,111e3,112500,114200,113600,113e3,112600,114600,117100,120400,123700,125800,128800,130900,134800,138400,141900,143500,145300,148700,154100,158300,162300,164800,168100,168400,169500,170200,173100,174400,175600,178200,18e4,181600,175300,175300,177600,184900,188100,190400,193100,193200,194800,195800,199100,199600,198800,200900,202400,206100,205500,206600,206600,209900,211700,212e3,210500,211100,212500,213800,213500,215200,217e3,219500,220600,223200,224100,227900,228800,232400,235300,238e3,239800,241900,245600,248e3,25e4,252400,256600,261100,265600,269800,272200,271e3,271e3,271300,275100,276500,277600,280900,282100,285100,282500,284100,283900,282100
61,West Virginia,35,95e3,96400,99100,99e3,97400,96900,94200,95e3,94800,91200,90700,89400,93700,92700,95200,98e3,104e3,104800,102600,101100,100800,100900,100600,97200,96500,94e3,96300,98400,97400,94400,93e3,95900,98e3,99e3,103700,102200,97800,93200,93e3,95300,92600,95600,95500,103e3,99800,102100,97900,98200,97600,95700,98e3,99e3,102e3,102800,104300,102800,105900,109100,108100,104700,102100,107400,110100,113e3,114100,116300,116100,111900,109400,106200,109500,107300,103200,102100,108100,113500,114800,115500,115300,114900,116700,118300,122100,124900,130200,132700,129200,129600,129e3,131100,132600,134400,135e3,135e3,135e3,135800,134900,132900,132400,133500,132900,131300,127100,129500,131600,135400,133100,133300,131100,132100,131900,131700,134200,134500,138800,143e3,144500,145600,145600,149100,148300,145900,145200,145400,142800,139800,139100,145600,147600,148300,141700,143500,145400,150400,150300,150800,
38,Nebraska,36,124400,125400,123900,120700,118500,118700,117900,118100,116e3,115600,114800,119100,121300,122800,122e3,122100,122700,123600,125e3,126e3,123900,123600,123700,125800,127900,128400,127900,124600,123100,125e3,126400,127400,127600,129800,131800,131400,130400,129e3,128200,126900,126500,127600,126900,128300,128700,131800,131200,132100,132100,133600,133500,132100,132e3,132800,136e3,136800,135300,135200,134700,134900,133500,132900,133800,135200,136700,135900,135900,136200,137e3,136400,134500,135400,135600,137400,136700,136700,136900,138500,138800,139500,14e4,141800,142100,142700,142300,141900,142500,143900,145200,145800,145900,147e3,146700,149500,149900,151300,150300,150100,148600,147800,145900,148e3,148900,152e3,152700,153200,154900,154700,155700,156600,158500,158600,158300,158e3,158400,158700,16e4,160600,162300,163300,164300,165900,166900,168600,167400,167e3,166600,167800,169700,171200,174800,177700,181200,181500,181800,180300,
20,Idaho,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161600,163700,166400,168e3,168100,165900,165600,165300,166700,166500,167400,167100,168300,168800,169300,169700,17e4,171e3,171700,173700,175200,177400,177500,179800,180600,182300,181200,181900,183200,185400,186200,186100,186800,186600,188400,188800,190600,190800,192600,193e3,193500,194600,196e3,197800,198e3,199600,200600,200800,200700,200700,203100,204900,207600,209800,212700,215100,215500,217800,221200,228200,231700,234e3,235800,238600,241e3,242500,243100,245400,247400,251400,256e3,257100,260100,260700,266100,
39,New Hampshire,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241900,243200,241800,241500,244600,248500,250900,251200,248600,248900,251600,255100,255700,255900,256e3,257800,257300,26e4,259700,261500,259400,263600,262200,265600,265800,267100
50,Rhode Island,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238200,235900,238600,241400,241800,245e3,246700,243500,246600,249400,256200,255500,251300,243300,239400,240800,246200,248100,248900,250700,253500,254900,259200,26e4,258800,
35,Montana,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190800,189800,190600,190800,193100,194300,198500,201700,200200,200200,202100,204700,206100,204400,205900,207e3,204500,204400,204100,208100,211700,216100,220400,219800,216400,212300,216800,220200,225600,220600,221700,219100,221900,220600,222700,227400,231400,233700,231200,230300,230700,235e3,236700,234900,234500,233300,235300,234e3,235e3,236600,237200,238200,238800,240600,241600,243400,244600,253100,251700,253200,246900,247900,249500,250200,250600,252700,253600,257300,257e3,264700,262400,262100,256600,258700,260100,263300,264800,267300,267700,276e3,279300,285e3,283300,286e3,288300,292400,
